Unnamed: 0,State Code,County Code,Site Num,Address,State,County,City,Date Local,NO2 Units,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Units,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Units,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Units,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
,1,73,23,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.",Alabama,Jefferson,Birmingham,2016-01-01,Parts per billion,2.520833,4.1,11.0,4.0,Parts per million,0.022292,0.027000000000000003,13.0,25.0,Parts per billion,0.406818,0.95,4.0,1.0,Parts per million,0.1147725,0.12000000000000001,4.5,1.0
,1,73,23,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.",Alabama,Jefferson,Birmingham,2016-01-02,Parts per billion,8.4375,27.5,18.0,25.0,Parts per million,0.015333,0.03,9.0,28.0,Parts per billion,0.6675325,1.2,7.0,1.0,Parts per million,0.212879,0.605,23.0,6.0
,1,73,23,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.",Alabama,Jefferson,Birmingham,2016-01-03,Parts per billion,12.75,20.7,8.0,19.0,Parts per million,0.017208,0.026,9.0,24.0,Parts per billion,0.8603895,1.65,4.0,1.0,Parts per million,0.29552999999999996,0.5449999999999999,2.0,7.0
,1,73,23,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.",Alabama,Jefferson,Birmingham,2016-01-04,Parts per billion,3.141667,6.1,2.0,6.0,Parts per million,0.025292,0.028,8.0,26.0,Parts per billion,0.4716665,1.6,5.5,3.0,Parts per million,0.12433350000000001,0.175,7.5,2.0
,1,73,23,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.",Alabama,Jefferson,Birmingham,2016-01-05,Parts per billion,9.316667,28.5,19.0,26.0,Parts per million,0.021917,0.03,9.0,28.0,Parts per billion,0.75,2.3,4.0,3.0,Parts per million,0.6255679999999999,3.34,5.0,20.0
,1,73,23,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.",Alabama,Jefferson,Birmingham,2016-01-06,Parts per billion,14.5875,34.7,19.0,32.0,Parts per million,0.01825,0.03,9.0,28.0,Parts per billion,0.843831,1.4500000000000002,11.5,1.0,Parts per million,0.1652275,0.315,21.5,3.0
,1,73,23,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.",Alabama,Jefferson,Birmingham,2016-01-07,Parts per billion,17.854167,31.2,18.0,29.0,Parts per million,0.014042,0.019,7.0,18.0,Parts per billion,0.992857,1.85,4.0,3.0,Parts per million,0.2426315,0.35,9.0,3.0
,1,73,23,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.",Alabama,Jefferson,Birmingham,2016-01-08,Parts per billion,11.408333,27.6,18.0,25.0,Parts per million,0.017458,0.023,9.0,21.0,Parts per billion,0.11590900000000001,0.25,5.5,0.0,Parts per million,0.2320835,0.52,9.0,3.0
,1,73,23,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.",Alabama,Jefferson,Birmingham,2016-01-09,Parts per billion,4.7625,9.9,8.0,8.0,Parts per million,0.020042,0.025,16.0,23.0,Parts per billion,0.013961000000000001,0.1,4.0,0.0,Parts per million,0.157462,0.25,9.0,3.0
,1,73,23,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.",Alabama,Jefferson,Birmingham,2016-01-10,Parts per billion,3.429167,12.2,18.0,11.0,Parts per million,0.020458,0.025,13.0,23.0,Parts per billion,0.1136365,0.85,22.5,1.0,Parts per million,0.1433335,0.21000000000000002,8.5,2.0
,1,73,23,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.",Alabama,Jefferson,Birmingham,2016-01-11,Parts per billion,14.768182,31.3,18.0,29.0,Parts per million,0.013125,0.026,9.0,24.0,Parts per billion,2.8791665,17.25,11.0,31.0,Parts per million,0.32211100000000004,0.87,23.0,8.0
,1,73,23,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.",Alabama,Jefferson,Birmingham,2016-01-12,Parts per billion,15.204167000000002,35.9,7.0,33.0,Parts per million,0.020833,0.033,9.0,31.0,Parts per billion,1.774351,5.2,4.0,7.0,Parts per million,0.3849165,0.87,1.0,9.0
,1,73,23,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.",Alabama,Jefferson,Birmingham,2016-01-13,Parts per billion,19.373684,33.2,23.0,31.0,Parts per million,0.010708,0.029,9.0,27.0,Parts per billion,1.025325,1.85,9.5,3.0,Parts per million,0.4010985,0.7949999999999999,22.5,8.0
,1,73,23,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.",Alabama,Jefferson,Birmingham,2016-01-14,Parts per billion,17.304167,39.6,8.0,37.0,Parts per million,0.026042000000000003,0.039,10.0,36.0,Parts per billion,1.3951295,3.0,8.0,4.0,Parts per million,0.44303000000000003,0.925,2.5,10.0
,1,73,23,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.",Alabama,Jefferson,Birmingham,2016-01-15,Parts per billion,15.008333,30.6,11.0,28.0,Parts per million,0.016333,0.029,0.0,27.0,Parts per billion,0.9064935,5.65,10.5,10.0,Parts per million,0.20666649999999998,0.345,11.5,3.0
,1,73,23,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.",Alabama,Jefferson,Birmingham,2016-01-16,Parts per billion,3.2875,8.9,0.0,8.0,Parts per million,0.02375,0.03,8.0,28.0,Parts per billion,0.19740249999999998,0.8500000000000001,13.0,1.0,Parts per million,0.08897749999999999,0.18,8.5,2.0
,1,73,23,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.",Alabama,Jefferson,Birmingham,2016-01-17,Parts per billion,4.225,17.2,22.0,16.0,Parts per million,0.024792,0.033,9.0,31.0,Parts per billion,0.5788964999999999,1.75,23.0,1.0,Parts per million,0.119811,0.19,20.5,2.0
,1,73,23,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.",Alabama,Jefferson,Birmingham,2016-01-18,Parts per billion,8.104167,21.7,23.0,20.0,Parts per million,0.0225,0.031,9.0,29.0,Parts per billion,0.6133335,1.75,5.5,3.0,Parts per million,0.1419445,0.20500000000000002,9.0,2.0
,1,73,23,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.",Alabama,Jefferson,Birmingham,2016-01-19,Parts per billion,11.904167,31.7,20.0,29.0,Parts per million,0.021125,0.032,8.0,30.0,Parts per billion,2.1074675000000003,7.199999999999999,10.0,13.0,Parts per million,0.1876135,0.33999999999999997,22.0,3.0
,1,73,23,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.",Alabama,Jefferson,Birmingham,2016-01-20,Parts per billion,15.120833,28.5,17.0,26.0,Parts per million,0.014708,0.03,1.0,28.0,Parts per billion,1.2325,2.5999999999999996,12.0,4.0,Parts per million,0.23132550000000002,0.32,8.0,3.0
