Unnamed: 0,State Code,County Code,Site Num,Address,State,County,City,Date Local,NO2 Units,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Units,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Units,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Units,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
,1,73,23,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.",Alabama,Jefferson,Birmingham,2016-01,Parts per billion,11.408333,27.5,18.0,25.0,Parts per million,0.020041999999999997,0.03,9.0,28.0,Parts per billion,0.7487010000000001,1.65,8.0,1.0,Parts per million,0.2066665,0.34,9.0,3.0
,1,73,23,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.",Alabama,Jefferson,Birmingham,2016-02,Parts per billion,8.758333,25.6,17.0,24.0,Parts per million,0.025792000000000002,0.037000000000000005,10.0,34.0,Parts per billion,0.6623375,1.55,11.0,1.0,Parts per million,0.1882955,0.31,8.5,3.0
,1,73,23,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.",Alabama,Jefferson,Birmingham,2016-03,Parts per billion,8.681249999999999,27.25,16.0,25.0,Parts per million,0.0300625,0.043,10.0,40.0,Parts per billion,0.5165584999999999,1.825,9.75,3.0,Parts per million,0.17929925000000002,0.3225,8.5,2.5
,1,73,23,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.",Alabama,Jefferson,Birmingham,2016-04,Parts per billion,9.0479165,28.25,6.0,26.0,Parts per million,0.0318335,0.0465,9.5,43.5,Parts per billion,0.5459415000000001,1.95,9.5,3.0,Parts per million,0.18422349999999998,0.34750000000000003,7.25,3.0
,1,73,23,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.",Alabama,Jefferson,Birmingham,2016-05,Parts per billion,8.433333,23.0,17.0,22.0,Parts per million,0.033667,0.048,10.0,44.0,Parts per billion,0.48831149999999995,1.7,7.5,3.0,Parts per million,0.1901315,0.34,5.0,3.0
,4,13,9997,4530 N 17TH AVENUE,Arizona,Maricopa,Phoenix,2016-01,Parts per billion,9.820807,20.15,18.0,18.0,Parts per million,0.017125,0.027999999999999997,10.0,26.0,Parts per billion,0.791558,1.25,8.5,1.0,Parts per million,0.40842399999999995,0.6,7.0,6.5
,4,13,9997,4530 N 17TH AVENUE,Arizona,Maricopa,Phoenix,2016-02,Parts per billion,10.456522,21.25,18.5,20.0,Parts per million,0.017875000000000002,0.0325,10.0,30.0,Parts per billion,0.9301944999999999,1.75,11.0,2.0,Parts per million,0.466667,0.6,7.0,6.5
,4,13,9997,4530 N 17TH AVENUE,Arizona,Maricopa,Phoenix,2016-03,Parts per billion,5.5673915,14.65,11.0,13.5,Parts per million,0.026479000000000003,0.036500000000000005,10.5,33.5,Parts per billion,0.6464285000000001,1.25,10.5,1.0,Parts per million,0.3884055,0.45,5.0,5.5
,4,19,1028,400 W RIVER ROAD,Arizona,Pima,Tucson,2016-01,Parts per billion,15.2457425,27.200000000000006,18.5,25.5,Parts per million,0.0139375,0.028999999999999998,9.5,27.0,Parts per billion,0.0770835,0.2,8.0,0.0,Parts per million,0.379729,0.6174999999999999,9.5,7.0
,4,19,1028,400 W RIVER ROAD,Arizona,Pima,Tucson,2016-02,Parts per billion,14.804348,30.5,19.0,28.5,Parts per million,0.019875,0.038,10.5,35.5,Parts per billion,0.1451085,0.30000000000000004,11.0,0.0,Parts per million,0.4051665,0.7440000000000001,9.0,7.5
,4,19,1028,400 W RIVER ROAD,Arizona,Pima,Tucson,2016-03,Parts per billion,7.945833,19.3,8.0,18.0,Parts per million,0.032333,0.048,11.0,44.0,Parts per billion,0.0875,0.2,7.5,0.0,Parts per million,0.2668125,0.396,6.5,3.0
,5,119,7,PIKE AVE AT RIVER ROAD,Arkansas,Pulaski,North Little Rock,2016-01,Parts per billion,11.843116,24.950000000000006,11.5,23.5,Parts per million,0.020229,0.0305,10.0,28.5,Parts per billion,0.5,1.0,11.5,0.5,Parts per million,0.327786,0.45,8.0,5.0
,5,119,7,PIKE AVE AT RIVER ROAD,Arkansas,Pulaski,North Little Rock,2016-02,Parts per billion,7.770833500000001,20.65,11.0,19.0,Parts per million,0.027146000000000003,0.036000000000000004,10.0,33.0,Parts per billion,0.4024455,0.8,11.0,0.5,Parts per million,0.281083,0.38,6.5,4.0
,5,119,7,PIKE AVE AT RIVER ROAD,Arkansas,Pulaski,North Little Rock,2016-03,Parts per billion,7.714583500000001,19.55,11.5,18.0,Parts per million,0.0292915,0.0425,10.5,39.5,Parts per billion,0.33125,0.7,8.5,0.5,Parts per million,0.2482085,0.331,6.0,3.5
,6,1,11,1100 21st Street,California,Alameda,Oakland,2016-01,Parts per billion,15.078261,29.2,9.0,27.0,Parts per million,0.016291999999999997,0.027999999999999997,9.0,26.0,Parts per billion,0.699675,1.1,9.0,1.0,Parts per million,0.4488225,0.7,5.5,7.0
,6,1,11,1100 21st Street,California,Alameda,Oakland,2016-02,Parts per billion,11.956522,30.2,10.0,28.0,Parts per million,0.025125,0.036000000000000004,10.0,33.0,Parts per billion,0.36875,1.1,10.0,1.5,Parts per million,0.3791665,0.6,3.5,6.0
,6,1,11,1100 21st Street,California,Alameda,Oakland,2016-03,Parts per billion,10.874638000000001,24.4,7.0,22.5,Parts per million,0.0283125,0.04,10.5,37.0,Parts per billion,0.65,1.35,9.0,1.5,Parts per million,0.33009099999999997,0.436,5.5,4.5
,6,1,11,1100 21st Street,California,Alameda,Oakland,2016-04,Parts per billion,9.81544375,24.6,11.75,22.75,Parts per million,0.03252075,0.04,10.0,37.0,Parts per billion,0.82893675,1.275,10.25,1.0,Parts per million,0.32391325000000004,0.4,5.25,4.5
,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2016-04,Parts per billion,3.5413045,7.35,6.5,7.0,Parts per million,0.034707999999999996,0.043,10.0,40.0,Parts per billion,0.91477275,1.625,11.0,2.0,Parts per million,0.28534400000000004,0.4,5.5,5.0
,6,23,1004,717 SOUTH AVENUE,California,Humboldt,Eureka,2016-01,Parts per billion,1.9625,3.7,15.0,3.0,Parts per million,0.032875,0.037000000000000005,10.0,34.0,Parts per billion,0.59375,0.95,9.0,1.0,Parts per million,0.202174,0.2685,0.5,2.0
,6,23,1004,717 SOUTH AVENUE,California,Humboldt,Eureka,2016-02,Parts per billion,2.3458330000000003,4.6,17.0,4.0,Parts per million,0.027125,0.032,11.0,30.0,Parts per billion,0.5562499999999999,0.85,8.5,1.0,Parts per million,0.2828805,0.3,3.0,3.0
,6,23,1004,717 SOUTH AVENUE,California,Humboldt,Eureka,2016-03,Parts per billion,1.7,3.1,9.0,3.0,Parts per million,0.031958,0.037000000000000005,11.0,34.0,Parts per billion,0.028571499999999996,0.15000000000000002,4.0,0.0,Parts per million,0.200521,0.2225,0.5,2.0
,6,25,5,"1029 ETHEL ST, CALEXICO HIGH SCHOOL",California,Imperial,Calexico,2016-01,Parts per billion,18.065761,33.9,12.5,31.5,Parts per million,0.018958000000000003,0.031,9.0,28.5,Parts per billion,0.6013584999999999,1.2,12.5,1.0,Parts per million,0.4088455,0.7915,10.5,8.5
,6,25,5,"1029 ETHEL ST, CALEXICO HIGH SCHOOL",California,Imperial,Calexico,2016-02,Parts per billion,16.9130435,33.2,13.5,31.0,Parts per million,0.023896,0.037500000000000006,9.5,35.0,Parts per billion,0.5809785,1.35,12.5,1.5,Parts per million,0.3480335,0.6535,12.5,7.0
,6,25,5,"1029 ETHEL ST, CALEXICO HIGH SCHOOL",California,Imperial,Calexico,2016-03,Parts per billion,11.599638,28.1,12.5,26.5,Parts per million,0.031646,0.0435,10.0,40.0,Parts per billion,0.7214675,1.4500000000000002,10.0,2.0,Parts per million,0.273188,0.4,7.5,4.5
,6,67,6,"DEL PASO-2701 AVALON DR, SACRAMENTO",California,Sacramento,Arden-Arcade,2016-01,Parts per billion,10.17803,23.0,18.0,22.0,Parts per million,0.014041500000000002,0.027000000000000003,10.0,25.0,Parts per billion,2.44237,3.05,12.5,4.0,Parts per million,0.410535,0.7377499999999999,8.25,7.5
,6,71,306,"14306 PARK AVE., VICTORVILLE, CA",California,San Bernardino,Victorville,2016-01,Parts per billion,13.2136365,28.25,7.0,25.5,Parts per million,0.020979,0.035,10.0,32.0,Parts per billion,0.2445345,0.625,7.0,0.0,Parts per million,0.40436525,0.6,5.25,6.0
,6,71,306,"14306 PARK AVE., VICTORVILLE, CA",California,San Bernardino,Victorville,2016-02,Parts per billion,16.840909,33.55,5.5,31.0,Parts per million,0.021698000000000002,0.040499999999999994,10.0,37.5,Parts per billion,0.29042199999999996,0.95,6.75,1.0,Parts per million,0.427159,0.6499999999999999,6.0,7.0
,6,71,306,"14306 PARK AVE., VICTORVILLE, CA",California,San Bernardino,Victorville,2016-03,Parts per billion,7.0291125,26.95,5.5,25.0,Parts per million,0.036333,0.0455,10.0,42.5,Parts per billion,0.16120125000000002,0.375,7.0,0.0,Parts per million,0.39725375,0.5,4.25,6.0
,6,83,1025,LFC #1-LAS FLORES CANYON,California,Santa Barbara,Capitan,2016-01,Parts per billion,0.391304,1.0,3.0,1.0,Parts per million,0.035292000000000004,0.039,10.0,36.0,Parts per billion,0.025,0.5,4.0,1.0,Parts per million,0.155525,0.25,2.0,2.0
,6,83,1025,LFC #1-LAS FLORES CANYON,California,Santa Barbara,Capitan,2016-02,Parts per billion,0.7391300000000001,2.0,8.0,2.0,Parts per million,0.038583,0.044000000000000004,11.0,41.0,Parts per billion,0.232143,1.0,3.5,1.0,Parts per million,0.1388885,0.2,2.0,2.0
,6,83,1025,LFC #1-LAS FLORES CANYON,California,Santa Barbara,Capitan,2016-03,Parts per billion,0.130435,1.0,0.0,1.0,Parts per million,0.039875,0.043,10.0,40.0,Parts per billion,0.0,0.0,3.5,0.0,Parts per million,0.093182,0.1,1.0,1.0
,6,85,5,158B JACKSON ST,California,Santa Clara,San Jose,2016-01,Parts per billion,13.442857,28.6,18.0,26.0,Parts per million,0.016333,0.026000000000000002,10.0,24.0,Parts per billion,0.2761905,0.35,10.5,0.0,Parts per million,0.3654925,0.6499999999999999,8.0,7.0
,6,85,5,158B JACKSON ST,California,Santa Clara,San Jose,2016-02,Parts per billion,20.740909,35.0,20.0,33.0,Parts per million,0.013541999999999998,0.027999999999999997,10.0,26.0,Parts per billion,0.3880955,0.75,10.0,0.0,Parts per million,0.507375,0.9055,7.5,8.0
,6,85,5,158B JACKSON ST,California,Santa Clara,San Jose,2016-03,Parts per billion,10.018182000000001,22.0,7.0,21.0,Parts per million,0.022875,0.035,11.0,32.0,Parts per billion,0.102381,0.25,8.0,0.0,Parts per million,0.273856,0.4185000000000001,6.5,5.0
,6,85,5,158B JACKSON ST,California,Santa Clara,San Jose,2016-04,Parts per billion,7.5977275,21.35,6.0,20.0,Parts per million,0.031667,0.043,10.0,40.0,Parts per billion,0.117262,0.30000000000000004,8.25,0.0,Parts per million,0.23554150000000001,0.35375,6.5,3.0
,6,95,4,304 TUOLUMNE ST.,California,Solano,Vallejo,2016-01,Parts per billion,8.403261,19.65,13.5,18.0,Parts per million,0.023146,0.0305,9.5,28.0,Parts per billion,0.6017045,1.0,8.5,1.0,Parts per million,0.6082425,0.8,7.0,8.5
,6,95,4,304 TUOLUMNE ST.,California,Solano,Vallejo,2016-02,Parts per billion,9.75947,21.25,13.0,20.0,Parts per million,0.0234585,0.037500000000000006,10.5,34.5,Parts per billion,0.7357145,1.1,5.0,1.0,Parts per million,0.4583335000000001,0.75,7.5,8.0
,6,95,4,304 TUOLUMNE ST.,California,Solano,Vallejo,2016-03,Parts per billion,4.955377500000001,12.95,8.0,11.5,Parts per million,0.028333,0.0375,10.5,35.0,Parts per billion,0.2785715,0.5,4.5,0.5,Parts per million,0.45,0.55,4.5,6.0
,6,95,4,304 TUOLUMNE ST.,California,Solano,Vallejo,2016-04,Parts per billion,3.4195649999999995,9.5,6.0,8.0,Parts per million,0.0342915,0.040999999999999995,10.0,38.0,Parts per billion,0.48474025,0.8,8.25,0.0,Parts per million,0.24986400000000003,0.32499999999999996,4.5,3.0
